PRVA IGRA - TOP 10: 

Broj:,Redni broj igre,Vrijeme igranja,Broj bodova
1.,1.igra,07.01.2019.   12:17:36,100
2.,1.igra,07.01.2019.   01:45:58,100
3.,1.igra,07.01.2019.   17:19:58,100
4.,1.igra,07.01.2019.   10:17:27,60
5.,1.igra,07.01.2019.   11:29:03,60
6.,1.igra,07.01.2019.   01:54:21,60
7.,1.igra,07.01.2019.   11:49:08,60



DRUGA IGRA - TOP 10: 

Broj:,Redni broj igre,Vrijeme igranja,Broj bodova
1.,2.igra,07.01.2019.   15:01:55,30
2.,2.igra,07.01.2019.   02:38:51,30
3.,2.igra,07.01.2019.   16:03:01,30
4.,2.igra,07.01.2019.   09:58:21,30
5.,2.igra,07.01.2019.   02:40:48,30
6.,2.igra,07.01.2019.   16:00:15,10
7.,2.igra,07.01.2019.   02:03:50,10
8.,2.igra,07.01.2019.   01:56:02,10
9.,2.igra,07.01.2019.   12:04:50,10
10.,2.igra,07.01.2019.   02:37:24,10



TREĆA IGRA - TOP 10:

Broj:,Redni broj igre,Vrijeme igranja,Broj bodova
1.,3.igra,07.01.2019.   14:59:14,150
2.,3.igra,07.01.2019.   11:39:01,100
3.,3.igra,07.01.2019.   11:42:39,100
4.,3.igra,07.01.2019.   11:54:33,100
5.,3.igra,07.01.2019.   12:02:55,100
6.,3.igra,07.01.2019.   12:17:36,100
7.,3.igra,07.01.2019.   01:45:58,100
8.,3.igra,07.01.2019.   17:19:58,100
9.,3.igra,07.01.2019.   10:17:27,60
10.,3.igra,07.01.2019.   11:29:03,60



ČETVRTA IGRA - TOP 10: 

Broj:,Redni broj igre,Vrijeme igranja,Broj bodova
1.,4.igra,07.01.2019.   01:54:21,60
2.,4.igra,07.01.2019.   11:49:08,60
3.,4.igra,07.01.2019.   11:51:23,60
4.,4.igra,07.01.2019.   01:57:30,60
5.,4.igra,07.01.2019.   03:04:30,60
6.,4.igra,07.01.2019.   11:24:40,30
7.,4.igra,07.01.2019.   11:26:55,30
8.,4.igra,07.01.2019.   12:12:01,30



